riis on geniaaln,CPU Name,Cores,Price,CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Test Date,Socket,Category
,06/8c,8,NA,"5,040",NA,"2,680",NA,NA,NA,NA,Unknown,Mobile/Embedded
,15/70,2,NA,"1,085",NA,878,NA,NA,NA,Oct 2021,Unknown,Unknown
,AArch64 rev 1 (aarch64),8,NA,"2,292",NA,"1,036",NA,NA,NA,NA,Unknown,Unknown
,AArch64 rev 4 (aarch64),8,NA,"1,666",NA,643,NA,NA,NA,NA,Unknown,Unknown
,AMD 3015Ce,2,NA,"1,386",NA,"1,264",NA,6,230.97,NA,FT5,Mobile/Embedded
,AMD 3020e,2,NA,"2,530",NA,"1,440",NA,6,421.64,Jun 2020,Unknown,Laptop
,AMD A10 Micro-6700T APU,4,NA,"1,345",NA,700,NA,5,268.95,May 2015,FT3b,Laptop
,AMD A10 PRO-7800B APU,2,NA,"3,179",NA,"1,500",NA,65,48.91,Oct 2014,FM2+,Desktop
,AMD A10-4600M APU,2,$98.99*,"1,906",19.25,"1,065",10.76,35,54.44,Apr 2012,FS1r2,Laptop
,AMD A10-4657M APU,4,NA,"1,759",NA,940,NA,35,50.27,May 2013,FP2,Laptop
,AMD A10-5745M APU,4,NA,"1,763",NA,"1,000",NA,25,70.53,Jul 2013,FP2,Laptop
,AMD A10-5757M APU,4,NA,"1,997",NA,"1,195",NA,35,57.06,Jul 2013,FP2,Laptop
,AMD A10-5800K APU,2,$46.07*,"2,927",63.53,"1,497",32.48,100,29.27,Oct 2012,FM2,Desktop
,AMD A10-6700T APU,2,$147.61*,"2,311",15.66,"1,310",8.87,45,51.36,Jun 2014,FM2,Desktop
,AMD A10-6800B APU,2,$128.02*,"2,824",22.06,"1,513",11.82,100,28.24,Feb 2014,FM2,Desktop
,AMD A10-7300 APU,4,NA,"1,696",NA,837,NA,19,89.27,Jul 2014,FP3,Laptop
,AMD A10-7700K APU,2,$53.79,"3,115",57.92,"1,412",26.26,95,32.79,Jan 2014,FM2+,Desktop
,AMD A10-7850K APU,2,$67.77,"3,413",50.36,"1,523",22.48,95,35.93,Jan 2014,FM2+,Desktop
,AMD A10-7870K,2,$226.99*,"3,488",15.36,"1,494",6.58,95,36.71,Jun 2015,FM2+,Desktop
,AMD A10-8700P,2,NA,"2,216",NA,"1,156",NA,35,63.32,Jul 2015,FP4,Laptop
,AMD A10-8850,2,NA,"3,525",NA,"1,624",NA,NA,NA,May 2016,Unknown,Desktop
,AMD A10-9620P,4,NA,"2,503",NA,"1,282",NA,15,166.86,Aug 2017,Unknown,Laptop
,AMD A10-9700,4,$119.99,"3,541",29.51,"1,619",13.49,65,54.48,Dec 2016,AM4,Desktop
,AMD A12-9700P,4,NA,"2,397",NA,"1,180",NA,15,159.82,Aug 2016,FP4,Laptop
,AMD A12-9730P,4,NA,"3,172",NA,"1,487",NA,35,90.62,Jul 2017,FP4,Laptop
,AMD A12-9800E,4,$435.00,"3,438",7.90,"1,606",3.69,35,98.23,Sep 2017,AM4,Desktop
,AMD A4 PRO-3340B,4,NA,"1,652",NA,657,NA,25,66.10,Nov 2015,BGA769 (FT3),Laptop
,AMD A4 PRO-7350B,1,NA,"1,024",NA,"1,174",NA,65,15.76,Dec 2014,FM2+,Desktop
,AMD A4-1250 APU,2,NA,432,NA,338,NA,8,54.00,Jul 2013,FT3,Laptop
,AMD A4-3300M APU,2,$29.99*,676,22.54,762,25.42,65,10.40,Jul 2011,FM1,Laptop
,AMD A4-3310MX APU,2,NA,785,NA,841,NA,45,17.45,Oct 2011,FS1,Laptop
,AMD A4-3330MX APU,2,NA,681,NA,909,NA,45,15.14,Mar 2013,FS1 uPGA,Laptop
,AMD A4-3420 APU,2,$136.00*,"1,078",7.92,"1,154",8.49,65,16.58,Jan 2012,FM1,Desktop
,AMD A4-4020 APU,2,$91.00*,"1,214",13.34,"1,229",13.50,65,18.68,Jul 2014,FM2,Desktop
,AMD A4-4355M APU,2,NA,795,NA,783,NA,17,46.79,Dec 2012,FP2,Laptop
,AMD A4-5050 APU,4,NA,"1,328",NA,538,NA,13.5,98.37,May 2017,FT3,Laptop
,AMD A4-5150M APU,2,NA,"1,129",NA,"1,109",NA,35,32.26,Jul 2013,FS1r2,Laptop
,AMD A4-5300B APU,2,$25.95*,"1,261",48.61,"1,291",49.75,65,19.41,Dec 2012,FM2,Desktop
,AMD A4-6250J APU,4,NA,"1,685",NA,700,NA,25,67.40,Dec 2014,Unknown,Unknown
,AMD A4-6300B APU,1,$27.95*,"1,328",47.51,"1,373",49.12,65,20.43,Dec 2013,Unknown,Desktop
,AMD A4-7210 APU,4,NA,"1,660",NA,722,NA,25,66.41,Jul 2015,BGA,Laptop
,AMD A4-9120,2,NA,"1,257",NA,"1,076",NA,15,83.80,Sep 2017,BGA,Laptop
,AMD A4-9120e,2,NA,908,NA,791,NA,NA,NA,Jun 2019,FT4,Laptop
,AMD A6 Micro-6500T APU,4,NA,"1,146",NA,630,NA,NA,NA,Jan 2016,Unknown,Laptop
,AMD A6 PRO-7400B,1,NA,"1,598",NA,"1,473",NA,65,24.59,Dec 2014,FM2+,Desktop
,AMD A6-3400M APU,4,$24.45*,"1,205",49.27,718,29.35,35,34.42,Jun 2011,FS1,Laptop
,AMD A6-3420M APU,4,NA,"1,257",NA,794,NA,35,35.92,Jan 2012,FS1,Laptop
,AMD A6-3500 APU,3,$74.93,"1,382",18.44,970,12.94,65,21.26,Sep 2011,FM1,Desktop
,AMD A6-3620 APU,4,$22.49*,"1,754",78.00,974,43.31,65,26.99,Feb 2012,FM1,Desktop
,AMD A6-3670 APU,4,$176.59*,"2,040",11.55,"1,128",6.39,100,20.40,Jan 2012,FM1,Desktop
,AMD A6-4455M APU,1,NA,795,NA,788,NA,17,46.79,Jul 2012,FP2,Laptop
,AMD A6-5345M APU,2,NA,"1,122",NA,"1,094",NA,17,65.97,Apr 2014,FP2,Laptop
,AMD A6-5357M APU,2,NA,"1,260",NA,"1,268",NA,35,36.01,Oct 2013,FP2,Laptop
,AMD A6-5400K APU,1,$52.02,"1,252",24.07,"1,253",24.08,65,19.27,Oct 2012,FM2,Desktop
,AMD A6-6400B APU,1,NA,"1,616",NA,"1,608",NA,65,24.85,Feb 2014,FM2,Desktop
,AMD A6-6420B APU,1,NA,"1,550",NA,"1,629",NA,65,23.84,Nov 2014,FM2,Desktop
,AMD A6-7000,2,NA,"1,010",NA,857,NA,17,59.40,Feb 2015,FP3,Laptop
,AMD A6-7400K APU,2,$62.15,"1,592",25.61,"1,420",22.84,65,24.48,Oct 2014,FM2+,Desktop
,AMD A6-7480,2,$43.99*,"1,936",44.01,"1,638",37.23,65,29.79,Apr 2019,FM2+,Desktop
,AMD A6-8550,2,NA,"1,604",NA,"1,474",NA,65,24.68,Nov 2015,FM2+,Desktop
,AMD A6-9210,2,NA,"1,261",NA,"1,101",NA,15,84.09,Jul 2016,FP4,Laptop
,AMD A6-9220C,2,NA,"1,151",NA,998,NA,6,191.89,May 2019,FT4,Laptop
,AMD A6-9225,2,NA,"1,336",NA,"1,179",NA,15,89.04,Aug 2018,BGA (FT4),Laptop
,AMD A6-9400,2,NA,"2,717",NA,"1,664",NA,10,271.70,Nov 2019,FT4,Laptop
,AMD A6-9500E,2,$63.86,"1,841",28.82,"1,478",23.15,35,52.59,Oct 2018,AM4,Desktop
,AMD A8 PRO-7600B APU,4,NA,"2,753",NA,"1,312",NA,65,42.36,Sep 2014,FM2+,Desktop
,AMD A8-3510MX APU,4,$77.11*,"1,483",19.24,888,11.52,45,32.96,Aug 2011,FS1,Laptop
,AMD A8-3530MX APU,4,NA,"1,521",NA,931,NA,45,33.80,Jul 2011,FS1,Laptop
,AMD A8-3800 APU,4,$109.95*,"1,939",17.64,"1,064",9.67,65,29.83,Sep 2011,FM1,Desktop
,AMD A8-3850 APU,4,$129.68*,"2,147",16.55,"1,190",9.18,100,21.47,Jun 2011,FM1,Desktop
,AMD A8-4500M APU,2,$69.95*,"1,642",23.48,900,12.87,35,46.92,May 2012,FS1r2,Laptop
,AMD A8-5500 APU,2,$58.95*,"2,553",43.31,"1,328",22.53,65,39.28,Jun 2012,FM2,Desktop
,AMD A8-5545M APU,4,NA,"1,536",NA,816,NA,19,80.83,Aug 2013,FP2,Laptop
,AMD A8-5557M APU,4,NA,"1,719",NA,"1,047",NA,35,49.11,Jul 2013,FP2,Laptop
,AMD A8-6410 APU,4,NA,"1,765",NA,785,NA,15,117.69,Jun 2014,BGA769 (FT3b),Laptop
,AMD A8-6500B APU,2,$49.95*,"2,882",57.69,"1,520",30.42,65,44.33,Apr 2014,FM2,Desktop
,AMD A8-6600K APU,2,$39.78,"2,955",74.27,"1,527",38.39,100,29.55,Jun 2013,FM2,Desktop
,AMD A8-7100 APU,4,NA,"1,648",NA,855,NA,19,86.75,Aug 2014,FP3,Laptop
,AMD A8-7410 APU,4,NA,"1,813",NA,805,NA,25,72.51,Jun 2015,Unknown,Laptop
,AMD A8-7600 APU,2,$60.99*,"3,207",52.58,"1,445",23.69,65,49.34,Jul 2014,FM2+,Desktop
,AMD A8-7670K,4,$87.47,"3,187",36.44,"1,517",17.35,95,33.55,Sep 2015,FM2+,Desktop
,AMD A8-8600P,2,NA,"2,240",NA,"1,103",NA,15,149.33,Aug 2015,FP4,Laptop
,AMD A8-9600,4,$75.29,"3,274",43.49,"1,481",19.67,65,50.37,Apr 2017,AM4,Desktop
,AMD A9-9410,2,NA,"1,499",NA,"1,312",NA,25,59.95,Jul 2016,FP4,Laptop
,AMD A9-9420e,2,NA,"1,139",NA,999,NA,NA,NA,Apr 2018,Unknown,Laptop
,AMD A9-9430,2,NA,"1,678",NA,"1,435",NA,NA,NA,Dec 2017,Unknown,Desktop
,AMD Athlon 1500+,1,NA,191,NA,275,NA,NA,NA,Mar 2009,Unknown,Unknown
,AMD Athlon 200GE,2,$123.89*,"4,157",33.55,"1,819",14.68,35,118.76,Sep 2018,AM4,Desktop
,AMD Athlon 240GE,2,$138.00*,"4,547",32.95,"2,001",14.50,35,129.92,Jan 2019,AM4,Desktop
,AMD Athlon 2800+,1,$109.95*,291,2.65,439,3.99,89,3.27,Mar 2009,754,Unknown
,AMD Athlon 3000G,2,$54.99*,"4,468",81.25,"1,991",36.21,35,127.66,Nov 2019,AM4,Desktop
,AMD Athlon 300U,2,NA,"4,006",NA,"1,845",NA,15,267.05,Jul 2019,FP5,Laptop
,AMD Athlon 5000 Dual-Core,2,$109.95,835,7.59,892,8.11,65,12.84,Oct 2009,"AM2,AM2+",Desktop
,AMD Athlon 5200 Dual-Core,2,$99.00,734,7.41,882,8.91,75,9.78,Dec 2010,AM2,Desktop
,AMD Athlon 5370 APU,4,$598.68*,"1,857",3.10,746,1.25,25,74.27,Apr 2016,"AM1,FS1B",Desktop
,AMD Athlon 64 2600+,1,NA,243,NA,292,NA,15,16.22,Nov 2013,Unknown,Unknown
,AMD Athlon 64 3000+,1,$20.00*,303,15.13,506,25.31,89,3.40,Dec 2008,Socket 754,Desktop
,AMD Athlon 64 3200+,1,$149.95*,340,2.27,568,3.79,62,5.48,Dec 2008,AM2,Unknown
,AMD Athlon 64 3400+,1,$99.95*,375,3.75,429,4.29,89,4.21,Jan 2009,754,Unknown
,AMD Athlon 64 3700+,1,$89.95*,394,4.38,435,4.83,89,4.42,Dec 2008,939,Desktop
,AMD Athlon 64 4000+,1,$99.95*,321,3.22,348,3.49,62,5.18,Dec 2008,AM2,Unknown
,AMD Athlon 64 FX-57,1,NA,517,NA,552,NA,104,4.97,Mar 2009,939,Desktop
,AMD Athlon 64 FX-60 Dual Core,2,NA,709,NA,912,NA,110,6.45,Feb 2009,939,Desktop
,AMD Athlon 64 FX-74,2,$499.50*,972,1.95,617,1.24,125,7.78,Mar 2009,F (1207),Desktop
,AMD Athlon 64 X2 Dual Core 3400+,2,NA,531,NA,505,NA,89,5.97,Oct 2010,754,Desktop
,AMD Athlon 64 X2 Dual Core 3800+,2,NA,623,NA,733,NA,89,7.00,Nov 2008,AM2,Desktop
,AMD Athlon 64 X2 Dual Core 4200+,2,$109.95*,662,6.02,781,7.10,89,7.43,Nov 2008,AM2,Desktop
,AMD Athlon 64 X2 Dual Core 4600+,2,$349.95*,704,2.01,834,2.38,65,10.83,Dec 2008,AM2,Desktop
,AMD Athlon 64 X2 Dual Core 5000+,2,$331.49*,764,2.30,893,2.69,65,11.75,Dec 2008,AM2,Desktop
,AMD Athlon 64 X2 Dual Core 5400+,2,$52.99*,876,16.52,995,18.77,65,13.47,Nov 2008,AM2,Desktop
,AMD Athlon 64 X2 Dual Core 5800+,2,$29.95*,797,26.60,"1,008",33.66,89,8.95,Jan 2009,Unknown,Desktop
,AMD Athlon 64 X2 Dual Core 6400+,2,$249.95*,967,3.87,"1,142",4.57,125,7.74,Nov 2008,AM2,Desktop
,AMD Athlon 64 X2 Dual Core BE-2350,2,NA,573,NA,674,NA,45,12.74,May 2009,AM2,Desktop
,AMD Athlon 64 X2 Dual Core TK-55,2,$57.74*,463,8.02,624,10.81,31,14.93,Nov 2009,Unknown,Unknown
,AMD Athlon 64 X2 Dual-Core TK-53,2,NA,502,NA,593,NA,31,16.21,Feb 2009,Unknown,Unknown
,AMD Athlon 64 X2 Dual-Core TK-57,2,NA,620,NA,681,NA,31,20.01,Feb 2009,Unknown,Unknown
,AMD Athlon 64 X2 QL-62,2,NA,553,NA,685,NA,35,15.81,Jan 2009,S1,Laptop
,AMD Athlon 64 X2 QL-65,2,$22.00*,609,27.69,653,29.67,35,17.41,Nov 2009,S1,Laptop
,AMD Athlon 64 X2 QL-67,2,NA,582,NA,515,NA,35,16.63,Dec 2009,S1,Laptop
,AMD Athlon 7450 Dual-Core,2,NA,789,NA,853,NA,95,8.31,Apr 2009,AM2+,Desktop
,AMD Athlon 7750 Dual-Core,2,$79.99,956,11.95,"1,027",12.84,95,10.06,Jan 2009,AM2+,Desktop
,AMD Athlon Dual Core 4050e,2,NA,559,NA,715,NA,45,12.42,Feb 2009,AM2,Desktop
,AMD Athlon Dual Core 4450e,2,$14.48*,721,49.82,831,57.37,45,16.03,Feb 2009,AM2,Desktop
,AMD Athlon Dual Core 4850e,2,$39.00*,735,18.85,879,22.53,45,16.33,Feb 2009,AM2,Desktop
,AMD Athlon Dual Core 5050e,2,$60.00*,811,13.51,914,15.24,45,18.02,Feb 2009,AM2,Desktop
,AMD Athlon Dual Core 5400B,2,NA,826,NA,969,NA,65,12.71,Jun 2009,AM2,Desktop
,AMD Athlon Gold 3150U,2,NA,"4,053",NA,"1,798",NA,15,270.17,Jul 2020,FP5,Laptop
,AMD Athlon Gold PRO 3150GE,4,NA,"7,212",NA,"2,178",NA,35,206.05,Jul 2020,AM4,Desktop
,AMD Athlon II 170u,1,$24.00*,357,14.86,728,30.34,20,17.83,Oct 2010,"AM2+,AM3",Desktop
,AMD Athlon II Dual-Core M320,2,$30.00*,679,22.62,827,27.55,35,19.39,Nov 2009,Unknown,Unknown
,AMD Athlon II N330 Dual-Core,2,NA,665,NA,813,NA,35,19.01,Jul 2010,Unknown,Unknown
,AMD Athlon II N370 Dual-Core,2,NA,899,NA,913,NA,35,25.67,May 2012,S1g4,Unknown
,AMD Athlon II Neo K145,1,NA,298,NA,592,NA,12,24.81,Jan 2011,S1,Laptop
,AMD Athlon II Neo K345 Dual-Core,2,NA,527,NA,552,NA,12,43.94,Jan 2011,Unknown,Laptop
,AMD Athlon II P320 Dual-Core,2,$19.95,673,33.75,811,40.67,25,26.93,Jun 2010,Unknown,Unknown
,AMD Athlon II P360 Dual-Core,2,$19.95*,711,35.65,879,44.04,25,28.45,Feb 2011,S1g4,Unknown
,AMD Athlon II X2 215,2,$28.97*,943,32.56,"1,040",35.89,65,14.51,Sep 2009,AM3,Desktop
,AMD Athlon II X2 235e,2,$97.50*,"1,049",10.75,"1,107",11.35,45,23.30,Oct 2009,AM3,Desktop
,AMD Athlon II X2 240e,2,$37.89*,962,25.39,"1,099",29.00,45,21.38,Dec 2009,AM3,Desktop
,AMD Athlon II X2 245e,2,$19.99*,"1,075",53.77,"1,145",57.28,45,23.89,Mar 2011,AM3,Desktop
,AMD Athlon II X2 250e,2,$76.73*,"1,046",13.64,"1,153",15.02,45,23.25,Jun 2011,AM3,Desktop
,AMD Athlon II X2 255,2,$29.99,"1,148",38.27,"1,245",41.52,65,17.66,Jan 2010,AM3,Desktop
,AMD Athlon II X2 260u,2,$83.44*,663,7.94,703,8.42,25,26.50,Dec 2010,AM3,Desktop
,AMD Athlon II X2 270,2,$19.99*,"1,226",61.31,"1,350",67.51,65,18.86,Aug 2011,AM3,Desktop
,AMD Athlon II X2 280,2,$76.89*,"1,355",17.62,"1,462",19.02,65,20.84,Mar 2013,AM3,Unknown
,AMD Athlon II X2 4400e,2,NA,"1,059",NA,"1,121",NA,37,28.61,Sep 2009,Unknown,Unknown
,AMD Athlon II X2 B22,2,$25.95*,"1,017",39.18,"1,120",43.16,65,15.64,Jan 2010,AM3,Desktop
,AMD Athlon II X2 B26,2,$24.95,"1,229",49.25,"1,302",52.18,65,18.91,Sep 2011,Unknown,Unknown
,AMD Athlon II X3 400e,3,$25.49*,"1,320",51.80,908,35.62,45,29.34,Dec 2009,AM3,Desktop
,AMD Athlon II X3 415e,3,$75.00*,"1,441",19.21,"1,028",13.71,45,32.02,Oct 2010,AM3,Desktop
,AMD Athlon II X3 425,3,$58.34*,"1,547",26.51,"1,109",19.01,95,16.28,Aug 2009,AM3,Desktop
,AMD Athlon II X3 440,3,$89.95*,"1,660",18.46,"1,203",13.38,95,17.48,Feb 2010,AM3,Desktop
,AMD Athlon II X3 450,3,$28.02,"1,763",62.91,"1,292",46.12,95,18.56,Nov 2010,AM3,Desktop
,AMD Athlon II X3 460,3,$18.99,"1,890",99.52,"1,384",72.86,95,19.89,Aug 2011,AM3,Desktop
,AMD Athlon II X4 555,4,NA,"2,310",NA,"1,242",NA,NA,NA,Dec 2010,Unknown,Unknown
,AMD Athlon II X4 559,4,NA,"2,473",NA,"1,388",NA,NA,NA,Sep 2013,Unknown,Unknown
,AMD Athlon II X4 605e,4,$22.10,"1,959",88.66,"1,028",46.52,45,43.54,Dec 2009,AM3,Desktop
,AMD Athlon II X4 615e,4,$59.00*,"1,900",32.20,"1,044",17.70,45,42.22,Dec 2010,AM3,Desktop
,AMD Athlon II X4 630,4,$48.04,"2,072",43.13,"1,140",23.73,95,21.81,Aug 2009,AM3,Desktop
,AMD Athlon II X4 635,4,$19.97,"2,010",100.63,"1,119",56.05,95,21.15,Feb 2010,AM3,Desktop
,AMD Athlon II X4 640,4,$14.98,"2,149",143.45,"1,209",80.72,95,22.62,Jun 2010,AM3,Desktop
,AMD Athlon II X4 645,4,$28.85,"2,229",77.26,"1,257",43.57,95,23.46,Oct 2010,AM3,Desktop
,AMD Athlon II X4 651 Quad-Core,4,$149.95*,"2,338",15.59,"1,296",8.64,100,23.38,Feb 2012,FM1,Unknown
,AMD Athlon L110,1,NA,197,NA,223,NA,13,15.17,Jul 2009,Unknown,Unknown
,AMD Athlon LE-1620,1,$18.00*,421,23.40,475,26.38,45,9.36,Mar 2009,AM2,Desktop
,AMD Athlon LE-1660,1,NA,416,NA,428,NA,45,9.25,Apr 2009,AM2,Desktop
,AMD Athlon Neo X2 Dual Core 6850e,2,NA,456,NA,566,NA,22,20.72,Nov 2009,Unknown,Unknown
,AMD Athlon Neo X2 Dual Core L335,2,NA,487,NA,547,NA,18,27.04,Aug 2009,Unknown,Unknown
,AMD Athlon PRO 300GE,2,NA,"4,528",NA,"1,948",NA,35,129.38,Oct 2019,AM4,Desktop
,AMD Athlon Silver 3050GE,2,NA,"4,545",NA,"2,016",NA,35,129.87,Feb 2021,AM4,Laptop
,AMD Athlon Silver PRO 3125GE,2,NA,"4,633",NA,"2,074",NA,35,132.37,Jul 2020,AM4,Desktop
,AMD Athlon TF-36,1,NA,338,NA,349,NA,25,13.53,May 2010,Unknown,Unknown
,AMD Athlon X2 240,2,NA,921,NA,"1,017",NA,65,14.17,Aug 2009,Unknown,Unknown
,AMD Athlon X2 250,2,NA,993,NA,"1,132",NA,65,15.28,Jun 2009,Unknown,Unknown
,AMD Athlon X2 280,2,$33.49*,"1,327",39.63,"1,258",37.55,65,20.42,Mar 2014,AM3,Unknown
,AMD Athlon X2 370K Dual Core,1,NA,"1,504",NA,"1,514",NA,65,23.14,Nov 2013,Unknown,Unknown
,AMD Athlon X2 Dual Core 6850e,2,NA,564,NA,623,NA,22,25.65,Jul 2010,Unknown,Unknown
,AMD Athlon X2 Dual Core BE-2350,2,NA,591,NA,705,NA,45,13.14,Mar 2009,AM2,Desktop
,AMD Athlon X2 Dual Core L310,2,NA,379,NA,434,NA,13,29.14,Oct 2009,S1,Laptop
,AMD Athlon X3 435,3,$95.49*,"1,781",18.65,"1,192",12.48,95,18.75,Dec 2009,Unknown,Unknown
,AMD Athlon X3 455,3,NA,"1,783",NA,"1,227",NA,95,18.77,Oct 2012,AM2+/AM3,Unknown
,AMD Athlon X4 620,4,$64.95*,"1,612",24.82,978,15.06,95,16.97,Oct 2009,Unknown,Unknown
,AMD Athlon X4 740 Quad Core,2,$24.99,"2,655",106.26,"1,354",54.20,65,40.85,Nov 2012,FM2,Desktop
,AMD Athlon X4 750K Quad Core,2,$190.44*,"2,707",14.21,"1,432",7.52,100,27.07,Nov 2012,FM2,Unknown
,AMD Athlon X4 830,2,$202.32*,"2,901",14.34,"1,292",6.39,65,44.63,Feb 2018,FM2+,Desktop
,AMD Athlon X4 845,2,$77.45,"3,773",48.72,"1,673",21.60,65,58.05,Mar 2016,FM2+,Desktop
,AMD Athlon X4 870K,2,$43.10,"3,413",79.18,"1,562",36.24,95,35.92,Mar 2016,FM2+,Desktop
,AMD Athlon X4 950,4,$133.00*,"3,633",27.32,"1,641",12.34,65,55.90,Sep 2017,AM4,Desktop
,AMD Athlon XP 1600+,1,NA,174,NA,265,NA,NA,NA,Feb 2009,Unknown,Unknown
,AMD Athlon XP 1800+,1,$50.95*,195,3.83,301,5.90,66,2.96,Mar 2009,Socket A,Desktop
,AMD Athlon XP 2000+,1,$58.99*,195,3.31,311,5.28,70,2.79,Feb 2009,Socket A,Desktop
,AMD Athlon XP 2200+,1,$84.95*,214,2.52,335,3.94,NA,NA,Feb 2009,Unknown,Unknown
,AMD Athlon XP 2500+,1,NA,231,NA,353,NA,NA,NA,Dec 2008,Unknown,Unknown
,AMD Athlon XP 2700+,1,$84.79*,256,3.02,398,4.69,NA,NA,Dec 2008,Unknown,Unknown
,AMD Athlon XP 2900+,1,NA,276,NA,410,NA,NA,NA,Apr 2009,Unknown,Unknown
,AMD Athlon XP 3100+,1,NA,282,NA,431,NA,NA,NA,Apr 2009,Unknown,Unknown
,AMD Athlon XP1600+,1,NA,183,NA,272,NA,NA,NA,Nov 2009,Unknown,Unknown
,AMD Athlon64 X2 Dual Core 4600+,2,NA,803,NA,755,NA,110,7.30,May 2009,AM2,Desktop
,AMD C-50,2,NA,260,NA,315,NA,9,28.93,Jan 2011,FT1,Laptop
,AMD C-60 APU,2,NA,309,NA,363,NA,9,34.31,Aug 2011,Unknown,Unknown
,AMD E-240,1,NA,182,NA,385,NA,18,10.11,Feb 2011,FT1,Laptop
,AMD E-350,2,NA,412,NA,494,NA,18,22.91,Jan 2011,FT1,"Desktop, Laptop"
,AMD E-350D APU,2,NA,465,NA,519,NA,18,25.83,Mar 2013,Unknown,Unknown
,AMD E1 Micro-6200T APU,2,NA,600,NA,498,NA,3.95,151.92,Oct 2014,FT3b,Laptop
,AMD E1-1500 APU,2,NA,397,NA,462,NA,18,22.06,Mar 2013,FT1,Laptop
,AMD E1-2200 APU,2,NA,474,NA,368,NA,9,52.63,Oct 2014,FT3,Laptop
,AMD E1-6010 APU,2,NA,543,NA,431,NA,10,54.35,Jul 2014,FT3b,Laptop
,AMD E1-6050J APU,2,NA,"1,385",NA,787,NA,10,138.50,Mar 2016,Unknown,Unknown
,AMD E2-1800 APU,2,NA,436,NA,530,NA,18,24.21,Jun 2012,FT1,Desktop
,AMD E2-3000 APU,2,NA,726,NA,547,NA,15,48.37,Feb 2014,FT3,Laptop
,AMD E2-3200 APU,2,$7.99*,971,121.51,971,121.55,65,14.94,Dec 2011,FM1,Desktop
,AMD E2-6110 APU,4,NA,"1,182",NA,482,NA,15,78.77,Oct 2014,"AM1,FT3b",Laptop
,AMD E2-9000,2,NA,930,NA,776,NA,10,93.01,May 2017,Unknown,Laptop
,AMD E2-9010,2,NA,991,NA,871,NA,15,66.10,Jan 2017,FP4,Laptop
,AMD Embedded G-Series GX-215JJ Radeon R2E,2,NA,"1,057",NA,869,NA,10,105.74,Sep 2017,FP4,"Laptop, Mobile/Embedded"
,AMD Embedded G-Series GX-420GI Radeon R7E,4,NA,"1,603",NA,852,NA,16.1,99.55,Sep 2017,FP4,"Laptop, Mobile/Embedded"
,AMD Embedded R-Series RX-418GD Radeon R6,4,NA,"3,426",NA,"1,467",NA,35,97.87,Mar 2018,FP4,"Laptop, Mobile/Embedded"
,AMD EPYC 3201,8,NA,"10,258",NA,"1,928",NA,30,341.94,Jun 2019,SP4r2,Server
,AMD EPYC 7232P,8,$790.00*,"16,667",21.10,"1,401",1.77,120,138.89,May 2020,SP3,Server
,AMD EPYC 7252,8,"$1,678.00","19,550",11.65,"1,992",1.19,120,162.92,May 2021,SP3,Server
,AMD EPYC 7272,12,"$2,985.95","26,446",8.86,"2,013",0.67,120,220.38,May 2020,SP3,Server
,AMD EPYC 7282,16,"$1,987.00","31,502",15.85,"1,984",1.00,120,262.52,Dec 2019,SP3,Server
,AMD EPYC 7302,16,"$2,368.00","33,015",13.94,"1,978",0.84,155,213.00,Jan 2020,SP3,Server
,AMD EPYC 7313,16,"$1,083.00*","39,829",36.78,"2,560",2.36,155,256.96,Jul 2021,SP3,Server
,AMD EPYC 7343,16,"$1,565.00*","45,882",29.32,"2,947",1.88,190,241.48,Jun 2021,SP3,Server
,AMD EPYC 7351P,16,$969.00*,"19,589",20.22,"1,876",1.94,155,126.38,Nov 2017,SP3,Server
,AMD EPYC 7371,16,"$1,808.99*","31,094",17.19,"2,377",1.31,NA,NA,Jan 2019,SP3,Server
,AMD EPYC 7401P,24,$844.39*,"31,767",37.62,"1,834",2.17,155,204.95,Nov 2017,SP3,Server
,AMD EPYC 7402P,24,"$2,445.00","41,741",17.07,"1,970",0.81,180,231.90,Oct 2019,SP3,Server
,AMD EPYC 7443P,24,"$1,337.00*","58,047",43.42,"3,002",2.25,200,290.24,Jun 2021,SP3,Server
,AMD EPYC 7452,32,"$3,250.00","41,871",12.88,"1,689",0.52,155,270.14,Nov 2019,SP3,Server
,AMD EPYC 7501,32,"$3,616.00*","24,925",6.89,"1,925",0.53,155,160.81,Dec 2017,SP3,Server
,AMD EPYC 7502P,32,"$3,741.89","47,070",12.58,"1,810",0.48,180,261.50,Sep 2019,SP3,Server
,AMD EPYC 7532,32,NA,"55,358",NA,"2,137",NA,200,276.79,Aug 2021,SP3,Server
,AMD EPYC 7543,32,"$3,761.00*","45,978",12.22,"2,772",0.74,240,191.57,Jun 2021,SP3,Server
,AMD EPYC 7551,32,"$2,974.12*","23,002",7.73,"1,784",0.60,180,127.79,Sep 2017,SP3,Server
,AMD EPYC 7571,32,NA,"27,445",NA,"1,934",NA,120,228.71,Sep 2019,SP3,Server
,AMD EPYC 7662,64,"$6,837.00","71,576",10.47,"2,054",0.30,225,318.12,Apr 2021,SP3,Server
,AMD EPYC 7702P,64,"$4,350.00","58,119",13.36,"2,126",0.49,200,290.59,Sep 2019,SP3,Server
,AMD EPYC 7742,64,"$5,825.00","68,749",11.80,"2,145",0.37,225,305.55,Sep 2019,SP3,Server
